date,count
11/21/16,9
11/19/16,3
11/18/16,16
11/17/16,6
11/16/16,1
11/15/16,4
11/14/16,12
11/13/16,1
11/12/16,2
11/11/16,7
11/10/16,9
11/9/16,6
11/7/16,1
11/4/16,3
11/2/16,3
11/1/16,1
10/31/16,1
10/30/16,1
10/29/16,1
10/27/16,2
10/26/16,1
10/25/16,4
10/24/16,2
10/22/16,5
10/21/16,2
10/20/16,10
10/18/16,7
10/17/16,12
10/16/16,2
10/14/16,4
10/13/16,1
10/12/16,5
10/11/16,6
10/10/16,4
10/7/16,7
10/6/16,6
10/5/16,10
10/4/16,29
10/3/16,21
10/2/16,17
10/1/16,3
9/30/16,5
9/27/16,1
9/26/16,1
9/25/16,1
9/23/16,1
9/22/16,5
9/21/16,6
9/20/16,5
9/19/16,5
9/18/16,1
9/17/16,4
9/16/16,7
9/15/16,21
9/14/16,6
9/13/16,7
9/11/16,4
9/10/16,2
9/9/16,11
9/8/16,18
9/7/16,7
9/6/16,7
9/5/16,1
9/4/16,1
9/2/16,2
9/1/16,6
8/31/16,1
8/30/16,11
8/29/16,4
8/28/16,2
8/27/16,4
8/26/16,3
8/25/16,9
8/24/16,4
8/23/16,4
8/22/16,6
8/21/16,1
8/20/16,1
8/19/16,2
8/18/16,6
8/17/16,6
8/16/16,21
8/15/16,32
8/14/16,1
8/13/16,1
8/12/16,14
8/11/16,4
8/10/16,8
8/9/16,3
8/8/16,1
8/7/16,1
8/6/16,4
8/5/16,3
8/4/16,5
7/30/16,6
7/29/16,4
7/28/16,2
7/27/16,10
7/26/16,1
7/25/16,3
7/24/16,1
7/23/16,3
7/22/16,5
7/21/16,10
7/20/16,12
7/19/16,3
7/18/16,3
7/17/16,2
7/15/16,4
7/13/16,2
7/12/16,2
7/11/16,10
7/10/16,10
7/9/16,1
7/8/16,2
7/7/16,12
7/6/16,4
7/5/16,4
7/4/16,5
7/1/16,4
6/30/16,4
6/29/16,5
6/28/16,1
6/27/16,3
6/26/16,2
6/25/16,1
6/24/16,1
6/23/16,4
6/22/16,7
6/21/16,3
6/20/16,2
6/18/16,2
6/17/16,4
6/16/16,5
6/15/16,5
6/14/16,9
6/13/16,6
6/12/16,3
6/11/16,2
6/10/16,5
6/9/16,8
6/8/16,3
6/7/16,4
6/6/16,1
6/5/16,5
6/3/16,3
6/2/16,8
6/1/16,2
5/31/16,10
5/30/16,3
5/28/16,4
5/27/16,4
5/26/16,3
5/25/16,2
5/24/16,4
5/23/16,5
5/22/16,7
5/21/16,1
5/20/16,3
5/19/16,2
5/18/16,8
5/17/16,24
5/16/16,3
5/14/16,1
5/13/16,3
5/12/16,4
5/11/16,5
5/10/16,9
5/9/16,1
5/7/16,2
5/6/16,2
5/5/16,3
5/4/16,4
5/3/16,10
5/2/16,5
5/1/16,22
4/30/16,6
4/29/16,5
4/28/16,5
4/26/16,3
4/25/16,3
4/24/16,2
4/23/16,3
4/22/16,2
4/21/16,4
4/20/16,6
4/19/16,1
4/18/16,6
4/17/16,2
4/16/16,13
4/14/16,5
4/13/16,2
4/12/16,2
4/11/16,3
4/10/16,3
4/9/16,2
4/8/16,3
4/6/16,2
4/5/16,11
4/4/16,13
4/2/16,1
4/1/16,3
3/31/16,5
3/30/16,7
3/29/16,1
3/28/16,2
3/27/16,2
3/25/16,2
3/24/16,2
3/23/16,12
3/22/16,10
3/21/16,24
3/20/16,19
3/19/16,3
3/18/16,6
3/17/16,8
3/16/16,15
3/15/16,2
3/14/16,3
3/13/16,3
3/11/16,9
3/10/16,10
3/9/16,11
3/8/16,10
3/6/16,4
3/5/16,4
3/4/16,3
3/3/16,3
3/2/16,5
3/1/16,4
2/29/16,6
2/28/16,1
2/27/16,4
2/26/16,9
2/25/16,14
2/24/16,62
2/23/16,121
2/22/16,6
2/21/16,3
2/20/16,24
2/19/16,5
2/18/16,14
2/17/16,10
2/16/16,12
2/15/16,5
2/14/16,3
2/13/16,1
2/12/16,3
2/11/16,6
2/10/16,4
2/9/16,4
2/8/16,6
2/7/16,4
2/6/16,7
2/5/16,12
2/4/16,24
2/3/16,3
2/2/16,9
2/1/16,2
1/30/16,1
1/29/16,9
1/28/16,7
1/27/16,8
1/26/16,7
1/25/16,6
1/24/16,5
1/23/16,4
1/22/16,11
1/21/16,10
1/20/16,2
1/19/16,4
1/18/16,3
1/17/16,5
1/16/16,7
1/15/16,15
1/14/16,51
1/13/16,16
1/12/16,48
1/11/16,25
1/10/16,11
1/9/16,5
1/8/16,17
1/7/16,12
1/6/16,18
1/5/16,5
1/4/16,2
1/3/16,2
1/2/16,5
1/1/16,3
12/31/15,7
12/30/15,3
12/29/15,2
12/28/15,5
12/27/15,3
12/26/15,3
12/25/15,1
12/24/15,2
12/23/15,6
12/22/15,13
12/21/15,10
12/20/15,1
12/19/15,3
12/18/15,44
12/17/15,17
12/16/15,8
12/15/15,11
12/14/15,25
12/13/15,13
12/12/15,6
12/11/15,5
12/10/15,33
12/9/15,3
12/8/15,1
12/7/15,6
12/6/15,1
12/5/15,1
12/4/15,4
12/3/15,6
12/2/15,34
12/1/15,8
11/30/15,4
11/29/15,3
11/28/15,3
11/27/15,1
11/26/15,19
11/25/15,13
11/24/15,2
11/23/15,8
11/22/15,2
11/20/15,4
11/19/15,15
11/18/15,13
11/17/15,26
11/16/15,14
11/15/15,6
11/14/15,5
11/13/15,7
11/12/15,5
11/11/15,10
11/10/15,30
11/9/15,9
11/8/15,4
11/7/15,5
11/6/15,14
11/5/15,22
11/4/15,40
11/3/15,8
11/2/15,4
11/1/15,4
10/31/15,6
10/30/15,37
10/29/15,11
10/28/15,12
10/27/15,13
10/26/15,6
10/25/15,4
10/23/15,8
10/22/15,26
10/21/15,5
10/20/15,13
10/19/15,34
10/18/15,4
10/16/15,4
10/15/15,11
10/14/15,4
10/13/15,6
10/12/15,3
10/11/15,4
10/10/15,6
10/9/15,1
10/8/15,1
10/7/15,11
10/6/15,5
10/5/15,5
10/4/15,1
10/3/15,7
10/2/15,13
10/1/15,7
9/30/15,3
9/29/15,12
9/28/15,5
9/27/15,3
9/26/15,3
9/25/15,16
9/23/15,8
9/22/15,11
9/21/15,4
9/20/15,1
9/19/15,6
9/18/15,18
9/17/15,19
9/16/15,10
9/15/15,1
9/14/15,5
9/13/15,1
9/12/15,6
9/11/15,31
9/10/15,3
9/9/15,2
9/8/15,5
9/7/15,4
9/6/15,2
9/5/15,3
9/4/15,1
9/3/15,4
9/1/15,4
8/31/15,5
8/30/15,1
8/29/15,1
8/28/15,1
8/27/15,5
8/25/15,4
8/24/15,4
8/23/15,1
8/21/15,5
8/20/15,3
8/19/15,3
8/18/15,2
8/17/15,4
8/16/15,4
8/15/15,7
8/14/15,15
8/13/15,6
8/12/15,3
8/11/15,10
8/10/15,2
8/9/15,1
8/8/15,3
8/7/15,23
8/6/15,2
8/5/15,2
8/4/15,2
8/1/15,1
7/31/15,7
7/30/15,5
7/29/15,4
7/28/15,5
7/27/15,1
7/26/15,2
7/25/15,1
7/24/15,29
7/23/15,4
7/22/15,15
7/21/15,5
7/20/15,13
7/19/15,1
7/18/15,1
7/17/15,2
7/16/15,2
7/15/15,3
7/14/15,3
7/13/15,9
7/12/15,3
7/11/15,4
7/10/15,4
7/9/15,2
7/8/15,5
7/7/15,24
7/6/15,5
7/3/15,3
7/2/15,2
7/1/15,12
6/30/15,3
6/27/15,4
6/26/15,5
6/25/15,8
6/24/15,7
6/23/15,9
6/22/15,27
6/21/15,2
6/20/15,1
6/19/15,3
6/18/15,8
6/17/15,2
6/16/15,3
6/15/15,2
6/14/15,6
6/13/15,10
6/12/15,7
6/11/15,6
6/10/15,5
6/9/15,2
6/8/15,1
6/7/15,4
6/6/15,3
6/5/15,9
6/4/15,3
6/3/15,5
6/2/15,9
6/1/15,12
5/31/15,11
5/30/15,1
5/29/15,10
5/28/15,3
5/27/15,14
5/26/15,3
5/25/15,2
5/24/15,3
5/23/15,1
5/22/15,6
5/21/15,4
5/20/15,4
5/19/15,6
5/18/15,3
5/17/15,2
5/15/15,12
5/14/15,4
5/13/15,9
5/12/15,4
5/11/15,8
5/10/15,3
5/9/15,1
5/8/15,6
5/7/15,26
5/6/15,3
5/5/15,9
5/4/15,3
5/3/15,1
5/1/15,2
4/30/15,4
4/29/15,6
4/28/15,3
4/27/15,8
4/26/15,4
4/25/15,3
4/24/15,11
4/23/15,8
4/22/15,8
4/21/15,2
4/20/15,1
4/19/15,2
4/18/15,1
4/17/15,2
4/16/15,1
4/15/15,1
4/14/15,10
4/13/15,3
4/12/15,1
4/11/15,5
4/10/15,1
4/9/15,4
4/8/15,9
4/7/15,1
4/6/15,4
4/5/15,1
4/4/15,1
4/3/15,2
4/2/15,2
4/1/15,2
3/31/15,5
3/30/15,1
3/29/15,1
3/27/15,7
3/26/15,12
3/25/15,24
3/24/15,4
3/23/15,3
3/21/15,3
3/20/15,4
3/19/15,7
3/18/15,11
3/17/15,6
3/16/15,5
3/15/15,1
3/14/15,3
3/13/15,7
3/12/15,4
3/11/15,6
3/10/15,2
3/9/15,6
3/8/15,3
3/7/15,1
3/6/15,4
3/5/15,2
3/4/15,4
3/3/15,2
3/2/15,6
3/1/15,2
2/28/15,1
2/27/15,4
2/26/15,5
2/25/15,8
2/24/15,4
2/23/15,12
2/21/15,4
2/20/15,1
2/19/15,9
2/18/15,11
2/17/15,6
2/16/15,2
2/14/15,2
2/13/15,4
2/12/15,15
2/11/15,13
2/10/15,10
2/9/15,17
2/8/15,3
2/6/15,14
2/5/15,14
2/4/15,18
2/3/15,4
2/2/15,6
1/31/15,5
1/30/15,8
1/29/15,25
1/28/15,13
1/27/15,16
1/26/15,11
1/25/15,2
1/24/15,4
1/23/15,13
1/22/15,24
1/21/15,15
1/20/15,26
1/19/15,6
1/18/15,3
1/17/15,2
1/16/15,12
1/15/15,18
1/14/15,21
1/13/15,7
1/12/15,10
1/11/15,6
1/10/15,5
1/9/15,6
1/8/15,3
1/7/15,4
1/6/15,6
1/5/15,3
1/4/15,4
1/3/15,4
1/2/15,3
1/1/15,3
12/31/14,16
12/30/14,5
12/29/14,12
12/28/14,6
12/27/14,1
12/26/14,3
12/25/14,1
12/24/14,8
12/23/14,20
12/22/14,16
12/21/14,9
12/20/14,14
12/19/14,10
12/18/14,5
12/17/14,14
12/16/14,15
12/15/14,17
12/14/14,7
12/13/14,7
12/12/14,14
12/11/14,26
12/10/14,37
12/9/14,33
12/8/14,17
12/7/14,21
12/6/14,2
12/5/14,6
12/4/14,6
12/3/14,2
12/2/14,19
12/1/14,7
11/30/14,4
11/29/14,8
11/28/14,11
11/27/14,2
11/26/14,2
11/25/14,1
11/24/14,6
11/22/14,5
11/21/14,5
11/20/14,9
11/19/14,3
11/18/14,4
11/17/14,4
11/16/14,4
11/14/14,6
11/13/14,8
11/12/14,6
11/10/14,2
11/8/14,3
11/7/14,6
11/6/14,4
11/5/14,20
11/4/14,7
11/3/14,1
11/1/14,2
10/31/14,10
10/30/14,8
10/29/14,2
10/28/14,5
10/27/14,7
10/26/14,4
10/25/14,3
10/24/14,2
10/23/14,10
10/22/14,5
10/21/14,5
10/20/14,5
10/19/14,2
10/18/14,1
10/17/14,1
10/16/14,4
10/15/14,7
10/14/14,3
10/13/14,4
10/12/14,6
10/11/14,3
10/10/14,16
10/9/14,15
10/8/14,12
10/7/14,7
10/6/14,4
10/4/14,2
10/3/14,13
10/2/14,8
10/1/14,14
9/30/14,8
9/29/14,2
9/28/14,4
9/27/14,4
9/26/14,7
9/25/14,9
9/24/14,1
9/23/14,6
9/22/14,2
9/21/14,1
9/19/14,3
9/18/14,4
9/17/14,2
9/16/14,6
9/15/14,8
9/14/14,3
9/12/14,1
9/11/14,5
9/10/14,7
9/9/14,9
9/8/14,3
9/7/14,2
9/5/14,3
9/4/14,1
9/3/14,7
9/2/14,18
9/1/14,4
8/31/14,1
8/30/14,2
8/29/14,5
8/28/14,6
8/27/14,4
8/26/14,6
8/25/14,1
8/22/14,15
8/21/14,21
8/20/14,11
8/19/14,3
8/18/14,1
8/16/14,2
8/15/14,2
8/14/14,10
8/13/14,9
8/12/14,5
8/11/14,3
8/10/14,3
8/9/14,2
8/8/14,3
8/7/14,8
8/6/14,10
8/5/14,19
8/4/14,7
8/3/14,3
8/2/14,2
8/1/14,4
7/31/14,3
7/30/14,10
7/29/14,6
7/28/14,2
7/27/14,1
7/25/14,3
7/24/14,11
7/23/14,2
7/22/14,2
7/20/14,1
7/19/14,9
7/18/14,1
7/17/14,8
7/16/14,19
7/15/14,11
7/14/14,25
7/11/14,2
7/10/14,10
7/9/14,3
7/8/14,3
7/7/14,8
7/5/14,1
7/4/14,1
7/3/14,4
7/2/14,13
7/1/14,2
6/30/14,11
6/29/14,12
6/28/14,13
6/27/14,6
6/26/14,11
6/25/14,11
6/24/14,3
6/23/14,7
6/22/14,4
6/21/14,5
6/20/14,17
6/19/14,8
6/18/14,35
6/17/14,32
6/16/14,20
6/15/14,7
6/14/14,12
6/13/14,29
6/12/14,26
6/11/14,30
6/10/14,36
6/9/14,48
6/8/14,53
6/7/14,14
6/6/14,68
6/5/14,87
6/4/14,84
6/3/14,69
6/2/14,75
6/1/14,60
5/31/14,41
5/30/14,1
5/29/14,12
5/28/14,10
5/27/14,1
5/26/14,4
5/25/14,1
5/24/14,4
5/23/14,18
5/22/14,11
5/21/14,5
5/20/14,2
5/19/14,5
5/18/14,2
5/17/14,4
5/16/14,3
5/15/14,3
5/14/14,3
5/13/14,6
5/12/14,6
5/11/14,2
5/10/14,1
5/9/14,2
5/6/14,1
5/5/14,3
5/4/14,3
5/3/14,2
5/2/14,5
4/30/14,1
4/29/14,4
4/28/14,3
4/25/14,1
4/24/14,6
4/23/14,9
4/22/14,5
4/21/14,5
4/20/14,2
4/18/14,10
4/17/14,7
4/16/14,6
4/15/14,9
4/14/14,7
4/13/14,6
4/12/14,2
4/10/14,6
4/9/14,4
4/8/14,5
4/7/14,2
4/6/14,2
4/4/14,1
4/3/14,1
4/2/14,2
4/1/14,7
3/31/14,3
3/29/14,1
3/27/14,8
3/26/14,8
3/25/14,2
3/24/14,6
3/23/14,4
3/22/14,2
3/21/14,5
3/20/14,7
3/19/14,5
3/18/14,3
3/17/14,10
3/15/14,2
3/14/14,1
3/13/14,5
3/12/14,5
3/11/14,4
3/10/14,6
3/9/14,2
3/8/14,2
3/6/14,2
3/5/14,4
3/4/14,3
3/3/14,7
3/2/14,5
3/1/14,11
2/28/14,5
2/27/14,6
2/26/14,3
2/25/14,11
2/24/14,5
2/23/14,8
2/21/14,6
2/20/14,11
